CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,2,10059010,10,240,ND,1,927700,6000000,1564869,469461
2025,6,07133319,10,580,SC,1,927502,4,4,6
2025,5,12019000,21,160,GO,1,917800,40889,40889469,16061425
2025,1,10059010,10,858,ND,1,817800,6000000,1500000,450000
2025,2,07133190,10,580,SP,1,817800,58,58,172
2025,2,10059010,10,474,MT,1,317903,8019217,8019217,1683442
2025,3,11042300,10,275,SP,1,817800,20,20,41
2025,4,10063021,10,77,ES,1,717600,50,50,299
2025,6,09011110,21,63,ES,7,1017500,2180,2176818,12518795
2025,1,09011110,21,431,BA,1,517800,110,109920,496171
2025,3,07133190,10,580,SC,1,917800,15,15,72
2025,3,12019000,21,160,TO,1,317903,452602,452603558,176773451
2025,4,07133110,10,607,AL,1,440151,10,10,60
2025,6,10062020,10,77,MA,1,317903,60,60,110
2025,5,10063021,10,467,ES,1,727600,250,250,287
2025,1,10059010,10,647,MT,1,227600,37823049,37823049,8033205
2025,1,09011110,21,301,MG,1,817800,5218,1422369,8483792
2025,3,09011110,21,158,ES,1,817800,60411,471053,2888826
2025,4,10059010,10,372,RO,1,817800,3420384,3420384,907573
2025,1,10063019,10,77,PR,1,917800,310,310,228
2025,1,10063021,10,776,SP,1,717800,514,514,1521
2025,4,09011110,21,399,SP,1,817800,928,931005,6971593
2025,3,09011110,21,249,BA,1,517800,113,112800,911609
2025,4,07133399,10,607,MG,1,817800,5000,5000,6885
2025,3,09011110,21,741,MG,1,817800,223,224310,1521729
2025,1,12019000,21,776,MT,1,917800,274,274683,110918
2025,1,09011110,21,195,ES,1,717600,400,399600,2034986
2025,4,07133399,10,434,SP,1,817800,99,99,242
2025,6,10062020,10,455,RJ,1,812051,200,200,374
2025,6,12019000,21,160,PA,1,317903,114687,114684112,45288911
2025,1,10059010,10,240,TO,1,317903,37794843,37794843,8086771
