CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,3,12019000,21,160,SC,1,927700,65110,65108972,25226769
2025,3,12019000,21,190,PR,1,927700,22752,22751659,8760751
2025,6,10063019,10,580,SP,1,812051,300,300,317
2025,2,10059010,10,240,RS,1,1017700,52789836,52789836,11921204
2025,4,15071000,21,361,MT,1,927700,5776,5775776,6526146
2025,5,10063011,10,589,RS,1,1017700,4571500,4571500,2547831
2025,5,10063021,10,467,PR,1,917800,300,300,295
2025,1,10059010,10,372,MS,1,917800,2940309,2940309,621878
2025,5,15079011,21,467,SP,1,817800,50,50,1137
2025,4,15079011,21,476,PA,1,217800,0,72,211
2025,4,15079011,21,580,AL,1,417900,92,92,222
2025,3,12019000,21,676,MT,1,240152,21579,21579803,9357218
2025,3,10063019,10,607,SP,1,917800,1804,1804,432
2025,1,10063019,10,628,SP,1,817800,120,120,148
2025,5,10062010,10,434,PE,1,417902,100,100,535
2025,1,10059010,10,240,RO,1,817800,34423,34423,7744
2025,6,10063019,10,301,PR,1,917800,350,350,265
2025,3,12019000,21,161,RS,1,927700,355,355270,127592
2025,2,10063021,10,538,ES,1,727600,10,10,25
2025,1,10059090,10,467,PR,1,917800,5,5,6
2025,6,12019000,21,161,PR,1,817800,235,235140,95822
2025,1,10059010,10,369,MT,1,927700,466527,466527,113963
2025,3,12019000,21,776,MT,1,917800,488,488055,202017
2025,5,10063021,10,780,SC,1,927700,250,250,450
2025,6,15079011,21,249,SP,1,817800,1,810,1390
2025,6,10062020,10,476,RJ,1,710251,210,210,359
2025,1,10059010,10,81,PR,1,927700,76678018,76678018,15503121
2025,4,23040010,21,399,MS,1,817800,13455,13454879,4637230
2025,1,10063021,10,77,AM,1,227600,15,15,180
2025,5,15079011,21,317,GO,1,817800,25,24838,32331
2025,4,12019000,21,776,MS,1,917800,902,901805,337040
2025,1,10063021,10,741,PA,1,217800,160,160,505
2025,4,23040090,21,245,GO,1,917800,1116,1116404,376865
2025,6,10063021,10,77,AL,1,417900,60,60,85
2025,6,10061092,10,628,PA,1,217800,100,100,139
2025,1,10059010,10,372,BA,1,317903,2217968,2217968,433857
2025,6,10063021,10,200,RS,1,1017700,217008,217008,128227
2025,1,10063019,10,386,SP,1,717600,250,250,358
2025,4,12019000,21,434,SC,1,917800,0,15,68
2025,1,23040090,21,670,SP,1,917800,1967,1967031,642685
2025,1,10059010,10,81,SP,1,817800,12727,12727,2751
2025,5,12019000,21,858,PI,1,317903,9173,9171815,3556879
2025,5,23040090,21,372,RS,1,1017700,95701,95701000,31755237
2025,4,15079011,21,580,ES,1,717800,0,162,333
2025,3,10061092,10,476,AM,1,227600,530,530,912
2025,1,10059010,10,628,SP,1,817800,192,192,211
2025,3,10062010,10,476,RJ,1,710251,120,120,724
2025,1,15071000,21,361,MT,1,917800,9068,9070035,9248230
2025,6,10063021,10,580,SC,1,927700,480,480,672
2025,4,15079011,21,586,GO,7,917500,75,75162,91566
2025,2,10063011,10,434,AL,1,417902,208,208,490
2025,5,15071000,21,361,MT,1,917800,11579,11578533,11780654
2025,6,15079011,21,780,SC,1,927800,0,70,121
2025,4,23040090,21,776,MT,1,817800,211380,211378855,74526314
2025,6,10063021,10,87,ES,1,727600,15,15,129
2025,6,10063021,10,199,RS,1,817800,790500,790500,446771
2025,5,12019000,21,160,DF,1,917800,345,345217,134841
2025,1,23040090,21,275,MS,1,917800,1500,1500000,604005
2025,5,15079011,21,467,AL,1,440151,0,20,32
2025,3,15079011,21,741,SP,1,917800,0,0,232
2025,6,12019000,21,160,MT,1,1017700,666,665283,263393
2025,6,15079011,21,589,MT,7,230154,866,867494,1148855
2025,4,10063011,10,325,AP,7,240151,816,816,1597
2025,1,10061091,10,434,RJ,1,717800,150,150,687
2025,2,10063011,10,77,PE,1,440151,20,20,27
2025,6,15079011,21,467,SP,1,817800,0,0,578
2025,6,10063021,10,467,SP,1,817800,462,462,695
2025,6,15071000,21,160,MS,1,917800,3663,3662520,3690026
2025,5,10059010,10,586,SP,15,917500,366,366,371
2025,6,10061092,10,351,MA,1,317903,75,75,293
2025,4,12019000,21,850,MT,1,210200,9100,9100000,3507686
2025,3,15071000,21,576,GO,1,917800,6000,6000000,5992000
2025,4,10063019,10,386,SP,1,817800,100,100,134
2025,4,10059010,10,474,TO,1,317903,1190498,1190498,260767
2025,6,10062010,10,580,PR,1,917800,100,100,55
2025,3,10063021,10,281,RJ,1,717600,176,176,546
2025,6,10062010,10,434,PR,1,917800,10,10,14
2025,5,10062020,10,741,MA,1,317903,50,50,91
2025,4,23040090,21,23,BA,1,517800,51152,51151960,17475990
2025,1,23040010,21,81,MS,1,817800,7445,7445084,2572828
2025,6,10063021,10,434,SC,1,917800,480,480,770
2025,5,10063021,10,845,RS,7,1017701,9000,9000,12690
2025,1,23040090,21,573,MS,1,917800,27742,27742205,9812973
2025,4,10059010,10,474,BA,1,317903,34665,34665,7504
2025,4,10062010,10,434,SC,1,1017700,300,300,324
2025,3,12019000,21,81,GO,1,917800,2515,2514639,1074318
2025,6,10062010,10,77,RJ,1,717800,150,150,732
2025,4,10059010,10,517,MT,1,917800,78000,78000,43068
2025,3,10059010,10,80,SP,1,817800,1,1,9
2025,6,12019000,21,476,SC,1,1017800,0,3,14
2025,3,15079011,21,160,RS,1,1017700,0,90,209
2025,4,23040010,21,399,SP,1,817800,4620,4619686,1604047
2025,6,12019000,21,337,RR,7,260152,32,32000,48000
2025,3,10063011,10,77,RS,1,1017700,23855,23855,17126
2025,1,23040090,21,776,GO,1,817800,2000,2000000,712080
2025,5,23040090,21,245,MT,1,917800,21667,21667736,6979244
2025,5,23040090,21,190,MT,1,917800,92269,92267903,29403884
2025,2,10062010,10,580,PA,0,210200,15,15,20
2025,2,10059090,10,476,PA,1,217800,10,10,38
2025,1,10063011,10,87,BA,1,517800,100,100,145
2025,2,15079011,21,538,RJ,1,717600,0,90,190
2025,6,10063021,10,580,PA,1,217800,115,115,566
2025,2,15071000,21,573,PR,1,917800,46,45960,79021
2025,1,12019000,21,160,MS,1,727600,286,286000,113328
